Id,Predicted
50,tztztztztztzttzttztzttttztztttttttztztzt
51,tztztztztztzttzttztzttttztztttttttztztzt
52,tztztztztztzttzttztzttttztztttttttztztzt
53,tztztztztztzttztzttztttttzttztttttztztzt
54,tztztztztztzttztzttzttttttztzttttttztztt
55,tztztztztztzttztzttzttttttztzttttttzttzt
56,tztztztztztzttzttztzttttttztttttttttttt
57,tztztztztztzttzttztztttttzttttzttzttttzt
58,tztztztztztztztztttttttttttttztttttttzt
59,tztztztztztztztztttttttttttttztttttttzt
60,tztztztztztztztztttttttttttttztttttttzt
61,tztztztztztztztzttttttzttzttztztztttttzt
62,tztztztztztztztzttttttzttzttztztztttttzt
63,tztztztztztztztztztttttttztztztzttttttzt
64,tztztztztztztztztzttttttttztzttzttttttzt
65,tztztztztztztztzttttttztttztzttzttttztzt
66,tztztztztztztztztztztttztttttttztzttzttzt
67,tztztztztztztztztztztttztttttttztzttzttzt
68,tztztztztztztztztztztztztztttzttttttttztG
69,tztztztztztztztztztztztztztttzttttttttztG
70,tztztztztztztztztztztztztztttzttttttttztG
71,tztztztztztztztztztzttztttttzttttztztttzt
72,tztztztztztztztztztzttztttttzttttztztttzt
73,tztztztztztztztztztzttztttttzttttzttzttzt
74,tztztztztzttzttzttttttzttzttttzttttttzt
75,tztztztztzttzttzttttttzttzttttzttttttzt
76,tztztztztzttzttzttttttzttzttttzttttttzt
77,tztztztztzttztzttttttztztzttttzttttztttG
78,tztztztztztttztzttttttztzttztztztttttztG
79,tztztztztztttztzttttttztzttztztzttttttzt
80,tztztztztztttztzttttttztzttztztzttttttzt
81,tztztztztztttztzttztttztttztzttttztzttzt
82,tztztztztztttztzttztttztttztzttttztzttzt
83,tztztztztztttztzttztttztttztzttttztzttzt
84,tztztztztztttztzttztttztttztztttttzttztG
85,tztztztztztttztzttztttztttztzttttztzttztG
86,tztztztztztttztzttzttttztzttzttttztzttztG
87,tztztztztztttztzttzttttztttttzttztttttzt
88,tztztztztztttztzttzttttztttttzttztttttzt
89,tztztztztztttztzttzttttztttttzttztztttztG
90,tztztztztzttztztzttttttttztztztttttzttztG
91,tztztztztzttztztzttzttttttztttztttztztztG
92,tztztztztzttztztzttzttttttztttztttztztztG
93,tztztztztzttztztzttzttttzttztttttzttttztG
94,tztztztztzttztztzttzttttzttztttttzttttztG
95,tztztztztzttztztzttzttttzttztttttzttttztG
96,tztztztztztttztztzttttztttttztzttzttttztG
97,tztztztztztttztztzttttztttttttztztztttztG
98,tztztztztztztztztttttttttttttztztttttztG
99,tztztztztztztztzttttttttttttztzttttztztGt
100,tztztztztztztztztttttztttttztzttztttttztG
101,tztztztztztztztztttttztttttztzttztttttztG
102,tztztztztztzttzttttttttttztztttztttztztGt
103,tztztztztztzttzttttttttttztztttztttztztGt
104,tztztztztztzttzttttttttttztztttztttttztGt
105,tztztztztztzttzttttttttttztztttztttttztGt
106,tztztztztztztztztzttttztttztttztttttttGtG
107,tztztztztztztztztztttzttttttttzttztztztGt
108,tztztztztztztztztztztttztttttttztztttztGtG
109,tztztztztztztztztztztttzttttztttzttttztGtG
110,tztztztztztzttztztzttttttztzttztttztttztGt
111,tztztztztztzttztztzttttttztzttttttztztztGt
112,tztztztztztzttztztzttttttztzttttttztztztGt
113,tztztztztztzttztztzttttttztzttttttztztztGt
114,tztztztztztzttztztzttttttztztttttttttztGt
115,tztztztztztzttztztzttttttztzttttttztztztGt
116,tztztztztztzttztztzttttttztzttttttztztztGt
117,tztztztztztzttztztzttttttztzttttttzttztGtG
118,tztztztztztzttzttztzttttzttztztttztttztGtG
119,tztztztztztzttzttztzttttzttztztttztttztGtG
120,tztztztztztzttzttztztztttttzttztzttttztGtG
121,tztztztztztzttzttzttttttztztttzttztttztGtG
122,tztztztztztzttzttzttttttztztttzttztttztGtG
123,tztztztztztzttzttzttttttztztttzttttttztGtG
124,tztztztztztzttzttzttttztttzttttttttztztGtG
125,tztztztztztzttzttzttttztttzttttttttztztGtG
126,tztztztztztzttzttzttttztttzttttttttztztGtG
127,tztztztztztztztztztttztzttttztttztttttGtGtG
128,tztztztztztztztztztztttttztttttztztztztGtGt
129,tztztztztzttztzttztttzttttzttztztttttztGtGt
130,tztztztztzttztzttztttzttttzttttztttttztGtG
131,tztztztztzttttztztttztttttztztzttttztztGtG
132,tztztztztzttttztztttzttttzttztztttzttztGtGt
133,tztztztztzttttztzttztttttztztztttztttztGtGt
134,tztztztztzttttztzttztttttztztztttztttztGtGt
135,tztztztztzttttztzttztttttzttttttztzttztGtGt
136,tztztztztzttttztzttzttttztttztttztzttztGtGt
137,tztztztztzttttztztttzttttzttttttztttztGtGt
138,tztztztztzttttztztttzttttzttztzttztttztGtGt
139,tztztztztzttttzttzttzttztztttttttzttztGtGt
140,tztztztztzttttzttzttztttttttttttztttztGtGt
141,tztztztztzttttzttzttztttttttttttztztztGtGtG
142,tztztztztzttttzttzttztttttttttttzttztGtGtGt
143,tztztztztzttttzttzttzttttttttttttttztGtGtGt
144,tztztztztzttttzttzttzttttttttttttttztGtGtGt
145,tztztztztzttttzttzttzttttttttttttttztGtGtGt
146,tztztztztzttttzttzttzttttttttttttttztGtGtGt
147,tztztztztzttttztztttzttztztttztttttztGtGtGt
148,tztztztztzttttztztttztttztzttzttttttztGtGtGt
149,tztztztztztztztztztttttttztztzttttttztGtGtGt
150,tztztztztztttztztttttttztztttttttztztRtGtGtG
151,tztztztztztttztztttttttztztttttttztztGtGtGtG
152,tztztztztztttztztttttttztztttttttztztGtGtGtG
153,tztztztztztttztztttttttztztttttttztztGtGtGtG
154,tztztztztztttztztttttttztztttttttztztGtGtGtG
155,tztztztztztttztztttttttztztttttttttztGtGtGtG
156,tztztztztztttztztttttttztztttttttttztGtGtGtG
157,tztztztztztttztztttttttztztttttttttztGtGtGtG
158,tztztztztzttzttztttztttzttztttzttzttztGtGtGt
159,tztztztztzttzttztttztttzttztttzttzttztGtGtGtG
160,tztztztztzttzttzttztztttttztztttzttztGtGtGtGt
161,tztztztztzttzttzttztztttttztzttztztztGtGtGtGt
162,tztztztztztttztztttzttttztzttzttttztztGtGtGtG
163,tztztztztztttztztttzttttztzttzttttztztGtGtGtG
164,tztztztztztttztztttzttttztzttzttttztztGtGtGtG
165,tztztztztztttztztttzttttztzttzttttztztGtGtGtGt
166,tztztztztztttztztztttttzttttttztttztGtGtGtGtG
167,tztztztztztttztztttzttttztzttzttzttztGntGtGtGt
168,tztztztztztttztztttzttttztzttzttzttztGntGtGtGt
169,tztztztztztttztztttzttttztzttzttzttztGntGtGtGt
170,tztztztztztttztztttzttttztztttttzttztGtGtGtGtG
171,tztztztztztttztztttzttttztztttttzttztGtGtGtGtG
172,tztztztztztttztztttzttztzttttttztttztGntGtGtGt
173,tztztztztztttztztttzttztzttttttztttztGntGtGtGt
174,tztztztztztttztzttttttztztztttttztztGtGtGtGtGt
175,tztztztztztttztzttttttztztzttztttttztGtGtGtGtGt
176,tztztztztztttztzttttttztztzttztttttztGtGtGtGtG
177,tztztztztztztztttztttttztzttztttttztGtGtGtGtGtG
178,tztztztztztztztttztttttztzttztttttztGntGtGtGtGt
179,tztztztztztztztztztttttzttttztztttztGtGtGtGtGtG
180,tztztztztztztztztztttttzttttztztttztGtGtGtGtGtG
181,tztztztztztztztztztttttztttttzttttztGtGtGtGtGtG
182,tztztztztztztztztztttttztttttzttttztGtGtGtGtGtG
183,tztztztztztztztztztttttzttttztztttztGtGtGtGtGtGt
184,tztztztztztztztztztttttztttttzttttztGtGtGtGtGtG
185,tztztztztztztztztztttttzttttztztttztGtGtGtGtGtGt
186,tztztztztztztztztztttttzttttztztttztGtGtGtGtGtGt
187,tztztztztztztztztztttttzttttztzttztGtGtGtGtGtGtG
188,tztztztztzttztzttzttttztzttttttttztGntGtGtGtGtGt
189,tztztztztzttztzttzttttztzttttttttztGntGtGtGtGtGt
190,tztztztztzttztzttztttttztztztttttztGtGtGtGtGtGtG
191,tztztztztzttztzttztttttztztztttttztGtGtGtGtGtGtG
192,tztztztztzttztzttztttttztztztttttztGtGtGtGtGtGtGt
193,tztztztztzttztzttzttttttztttztztztztGntGtGtGtGtGt
194,tztztztztzttztzttztttztztttttztttztGtGtGtGtGtGtGt
195,tztztztztzttztzttztttztztttttzttztztGntGtGtGtGtGt
196,tztztztztzttztzttztttztztttttztttztGtGtGtGtGtGtGt
197,tztztztztzttztzttzttttttzttttztztztGtGtGtGtGtGtGtG
198,tztztztztzttztzttzttttttzttttttztztGtGtGtGtGtGtGtG
199,tztztztztzttztzttzttzttttzttttttztGtGtGtGtGtGtGtGt
200,tztztztztzttztzttztttztttzttttztztRtGtGtGtGtGtGtGt
201,tztztztztzttztzttzttttttztttztttztGtGtGtGtGtGtGtGtG
202,tztztztztzttztzttzttttttztttztztztGtGtGtGtGtGtGtGtG
203,tztztztztzttztzttzttttttztttztttztGtGtGtGtGtGtGtGtG
204,tztztztztzttztzttztttztttzttttztztGntGtGtGtGtGtGtGt
205,tztztztztzttztzttztttttttttzttztztGtGtGtGtGtGtGtGtG
206,tztztztztzttztzttzttttztztttttttztGtGtGtGtGtGtGtGtG
207,tztztztztzttztzttzttttztztttttttztGtGtGtGtGtGtGtGtG
208,tztztztztzttztztztttzttttztzttztztGtGtGtGtGtGtGtGtGt
209,tztztztztzttztztztttttztzttztztztGtGtGtGtGtGtGtGtGtG
210,tztztztztzttztztztttttztztttzttztGntGtGtGtGtGtGtGtGt
211,tztztztztztztztztztttttzttzttttztGtGtGtGtGtGtGtGtGtGt
212,tztztztztztztztztztttttzttzttttztGtGtGtGtGtGtGtGtGtGt
213,tztztztztztztztztztttttztztttttztGtGtGtGtGtGtGtGtGtGt
214,tztztztztztztztztztttttztztztttztGntGtGtGtGtGtGtGtGtGt
215,tztztztztztztztztztttttztztztttztGtGtGtGtGtGtGtGtGtGtG
216,tztztztztzttztttztzttttttttttztGtGtGtGtGtGtGtGtGtGtGt
217,tztztztztzttztztztttzttttzttttztGtGtGtGtGtGtGtGtGtGtG
218,tztztztztzttztztztttzttttzttttztGtGtGtGtGtGtGtGtGtGtGt
219,tztztztztztztztztztztttttttztztztGtGtGtGtGtGtGtGtGtGtGt
220,tztztztztztztztztztztttttttzttztGtGtGtGtGtGtGtGtGtGtGtG
221,tztztztztztztztztztztttttttzttztGntGtGtGtGtGtGtGtGtGtGt
222,tztztztztztztztztztttttzttttttztGtGtGtGtGtGtGtGtGtGtGtG
223,tztztztztztztztztztttttzttttttztGtGtGtGtGtGtGtGtGtGtGtG
224,tztztztztzttztztzttttztttttttztGntGtGtGtGtGtGtGtGtGtGt
225,tztztztztzttztzttzttztttzttttztGtGtGtGtGtGtGtGtGtGtGtGt
226,tztztztztzttztzttzttztttzttttztGtGtGtGtGtGtGtGtGtGtGtGt
227,tztztztztzttztzttzttztttztttztztGtGtGtGtGtGtGtGtGtGtGtG
228,tztztztztztztztztzttttttttztztztGntGtGtGtGtGtGtGtGtGtGtG
229,tztztztztztztztzttttttztttzttztGtGtGtGtGtGtGtGtGtGtGtGtG
230,tztztztztztztztzttttttztttztztztGntGtGtGtGtGtGtGtGtGtGtG
231,tztztztztztzttztztttzttttzttztztGntGtGtGtGtGtGtGtGtGtGtG
232,tztztztztztzttztztttzttttzttztztGntGtGtGtGtGtGtGtGtGtGtG
233,tztztztztztzttztztttttzttztztztGtGtGtGtGtGtGtGtGtGtGtGtGt
234,tztztztztztzttztztttttzttttztztGtGtGtGtGtGtGtGtGtGtGtGtGt
235,tztztztztztzttztztttttzttttztztGntGtGtGtGtGtGtGtGtGtGtGtG
236,tztztztztztzttztztttttzttzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGt
237,tztztztztztzttztztttttzttztztztGtGtGtGtGtGtGtGtGtGtGtGtGtG
238,tztztztztztzttztztttttzttzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGt
239,tztztztztzttztztzttttttttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGt
240,tztztztztztttttzttttttttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
241,tztztztztztztztztzttttttztztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
242,tztztztztzttztzttttzttttztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
243,tztztztztztztztztztttttttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
244,tztztztztztztztztzttttttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
245,tztztztztztztztztzttttttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
246,tztztztztztztztztzttttttttztRGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
247,tztztztztztztztztzttttttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
248,tztztztztztztztztztttttttztztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
249,tztztztztztztztztzttttttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
250,tztztztztztztztztzttttttttztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
251,tztztztztztttztttzttttzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
252,tztztztztztttztttzttttzttztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
253,tztztztztztttztttttttttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
254,tztztztztztttztttttttttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
255,tztztztztztttztttttttttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
256,tztztztztztztztztztttzttttztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
257,tztztztztztztztztztttzttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
258,tztztztztztztztztztttzttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
259,tztztztztztztztztztttztttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
260,tztztztztztztztztztttztttztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
261,tztztztztztztztztztttztttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
262,tztztztztztztztztztttztttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
263,tztztztztztztztztztttztttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
264,tztztztztztttztttzttttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
265,tztztztztztttztttzttttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
266,tztztztztztttztttzttttttztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
267,tztztztztztttztttzttttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
268,tztztztztztttztzttttttztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
269,tztztztztztttztzttztttztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
270,tztztztztztttztzttztttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
271,tztztztztztttztzttztttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
272,tztztztztztttztzttztttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
273,tztztztztztttztzttztttztztGtGtGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
274,tztztztztztttztzttztttztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
275,tztztztztztttztzttttttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
276,tztztztztztttztzttttttztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
277,tztztztztztttztzttztttztztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
278,tztztztztztttztzttztttztztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
279,tztztztztztttztztztttztztRtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
280,tztztztztztttztztztttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
281,tztztztztztttztztztttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
282,tztztztztzttttzttzttzttztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
283,tztztztztzttttzttzttzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
284,tztztztztzttttzttzttzttztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
285,tztztztztzttttzttzttzttztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
286,tztztztztzttttzttzttzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
287,tztztztztzttttzttzttztztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
288,tztztztztzttttzttzttztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
289,tztztztztzttttzttzttztztRtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
290,tztztztztzttztztttttztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
291,tztztztztztttztzttttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
292,tztztztztztttztztzttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
293,tztztztztztttztztzttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
294,tztztztztztttztztzttttztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
295,tztztztztztztzttzttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
296,tztztztztztztztztttzttztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
297,tztztztztztztztztttzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
298,tztztztztztztztztttzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
299,tztztztztztztztztttzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
300,tztztztztztztztztttztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
301,tztztztztztztztztttzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
302,tztztztztztztztzttttztRtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
303,tztztztztztztztztttzttGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
304,tztztztztztztztztttzttRtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
305,tztztztztztztztzttttztRtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
306,tztztztztztztztzttttztRtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
307,tztztztztztztztztttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
308,tztztztztztztztztttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
309,tztztztztztztztztttttztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
310,tztztztztztztztztzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
311,tztztztztztztztztzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
312,tztztztztztztztztzttztGtGtGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
313,tztztztztztztztzttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
314,tztztztztztztztzttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
315,tztztztztztztztztzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
316,tztztztztztztztztzttztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
317,tztztztztztztztzttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
318,tztztztztztztztzttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
319,tztztztztztztztzttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
320,tztztztztztztztztzttztGtGtGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
321,tztztztztztztztztzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
322,tztztztztztztztztzttztGtGtGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
323,tztztztztztztztztzttztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
324,tztztztztztztzttztztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
325,tztztztztztztztztztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
326,tztztztztztztztztztztRtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
327,tztztztztztztzttztztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
328,tztztztztztztzttztztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
329,tztztztztztztzttzttztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
330,tztztztztztztztttztztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
331,tztztztztztztztttztztGtGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
332,tztztztztztztztttztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
333,tztztztztztztztttztztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
334,tztztztztztztztttztztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
335,tztztztztztztztttztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
336,tztztztztztztzttttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
337,tztztztztztztzttztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
338,tztztztztztztzttztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
339,tztztztztztztztttztRtGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
340,tztztztztztztztzttztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
341,tztztztztztztztzttztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
342,tztztztztztztztzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
343,tztztztztztztztzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
344,tztztztztztzttzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
345,tztztztztztztztztztztGntGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGt
346,tztztztztztztztztztRtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
347,tztztztztztztztztztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
348,tztztztztztztztttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
349,tztztztztztzttzttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
350,tztztztztztztztttztGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtGtG
